text,label
Your PayPal account will be suspended unless you verify now unusual login attempt.,1
Lyft: Payment failure detected. Please verify to continue rides easy job available.,1
Amazon: Your return request has been processed.,0
Payroll: Your direct deposit was declined. Verify your bank info to receive salary.,1
Doctor appointment confirmed for Tuesday at 2 PM.,0
HSBC: Your online banking is locked. Log in to unlock access click to view report.,1
Security breach detected in your account. Act fast to prevent damage j&t express shipment hold confirm your credentials.,1
Charity fund: Help children in need by sending your donation here.,1
Southwest Airlines: Flight change requires confirmation. Click to proceed.,1
Charity raffle: Confirm your ticket number to claim your prize.,1
United Airlines: Baggage fee payment pending. Pay to avoid cancellation instagrɑm-help.com.,1
Reminder: Submit your project by Friday.,0
Limited time offer! Get your free iPhone by clicking this link.,1
Here are the meeting notes from today’s discussion.,0
"Congratulations! You have been selected to win $10,000 download attachment validate your identity.",1
Netflix: New shows added that you might like.,0
Urgent: Confirm your bank details immediately! oracle expense report.,1
Your community center membership has been renewed.,0
Apple: Your device warranty has been successfully registered.,0
Newsletter: Top 10 travel destinations for 2025.,0
Expedia: Your travel itinerary has been canceled. Re-login to restore password reset required.,1
Google Drive: You have been granted access to a shared folder.,0
We couldn’t process your payment. Update your billing info.,1
Airbnb: Reservation issue detected. Login to confirm your booking customs duty required overdue payment.,1
Gift card reward: Activate your $200 Amazon gift card by confirming your details urgent fundraising shorturl.at.,1
Verify your identity to avoid suspension of your account.,1
Instagram: Your account is at risk of termination. Confirm login to keep it active law enforcement notice.,1
We couldn’t process your payment. Update your billing info secure it now court summons.,1
Zoom: Meeting access suspended. Sign in to restore your account.,1
Reminder: Submit your timesheet before Friday noon.,0
Airbnb: Reservation issue detected. Login to confirm your booking western union mtcn.,1
Your tax refund is ready. Fill out the form to receive payment.,1
Limited time offer! Get your free iPhone by clicking this link microsoft exchange login.,1
Hotmail: Update your account to maintain uninterrupted email service download attachment crypto airdrop.,1
We couldn’t process your payment. Update your billing info community standards violation.,1
Thank you for renewing your gym membership.,0
LinkedIn: Weekly job alerts curated for you.,0
New policy updates are now available on the company portal.,0
Thank you for renewing your magazine subscription.,0
PayPal: Your refund has been processed successfully.,0
Verify your identity to avoid suspension of your account drive.google.com/uc?id= metrobank secure.,1
Google Photos: Your memories from last year are ready to view.,0
Lazada: Big Sale starts tomorrow – Don’t miss out!,0
CashApp: You’ve received $750. Click to claim instantly authenticator re-enroll id.me verification.,1
You have received a secure fax. View document by logging into your portal legal action pending.,1
Venmo: You received a payment. Accept now to claim.,1
You have received a secure fax. View document by logging into your portal scan to unlock icloud-support.net.,1
Hulu: Your subscription will be canceled unless you update your payment instagram blue badge verify.,1
Eventbrite: Your tickets for the workshop are attached.,0
Charity raffle: Confirm your ticket number to claim your prize okta verify prompt.,1
Happy Birthday! Enjoy a special discount on us.,0
Health Alert: Your medical records have been flagged. Verify identity to continue access gift card.,1
Chase Bank: Unusual transaction detected. Confirm your account to stop fraud nft giveaway palawan express claim code.,1
New job opportunity: Earn $500/day working from home. Apply now lawsuit notice.,1
Slack: Reminder to update your status during vacation.,0
Your PayPal account will be suspended unless you verify now.,1
LinkedIn: Weekly job alerts curated for you.,0
Your tax refund is ready. Fill out the form to receive payment facebοok.secure-login.com g00gle.com.,1
GitHub: New pull request opened in your repository.,0
Security breach detected in your account. Act fast to prevent damage.,1
Charity raffle: Confirm your ticket number to claim your prize transaction declined review courier unable to deliver.,1
Google Drive: Shared document requires you to login for access won facebοok.secure-login.com.,1
Western Union: Your transfer is pending. Login to confirm recipient surl.li.,1
Urgent: Confirm your bank details immediately!,1
Outlook: New email filters applied successfully.,0
Reminder: Parent-teacher meeting scheduled this Saturday.,0
Thank you for your donation to the local food bank.,0
New job opportunity: Earn $500/day working from home. Apply now.,1
Reset your password now or your account will be locked.,1
IRS: You are eligible for a tax rebate. Submit your information to claim career opportunity.,1
Your mortgage account is past due. Make payment to avoid foreclosure delivery confirmation required.,1
COVID-19 vaccine registration required. Fill out this form to confirm your appointment https:// confidential document portal.,1
Reminder: Submit your timesheet before Friday noon.,0
Thank you for joining our mentorship program.,0
Bitcoin wallet: Immediate withdrawal detected. Verify before funds are lost.,1
Gmail: Security checkup completed successfully.,0
Parking ticket overdue: Pay now to avoid additional fines .ru.,1
Government relief funds available. Submit your details to qualify .apk file short.cm.,1
Campus reminder: Midterm exams start next week.,0
Apple: Your device warranty has been successfully registered.,0
Verizon: Unusual SIM card change request detected. Verify to secure your account .xyz it department notice.,1
Your bank account will be closed in 24 hours unless verified appⅼeid.apple.com drive.google.com/uc?id=.,1
Payoneer: Your funds transfer has been blocked. Verify your identity .apk file crypto wallet login.,1
Apple: Your device warranty has been successfully registered.,0
Charity raffle: Confirm your ticket number to claim your prize unionbank verify reward points available.,1
Final warning: your account will be deactivated if you don’t act now! adf.ly.,1
Payoneer: Your funds transfer has been blocked. Verify your identity download statement click to view report.,1
Newsletter: Top 10 travel destinations for 2025.,0
Lyft: Payment failure detected. Please verify to continue rides.,1
Venmo: You received a payment. Accept now to claim tax refund respond instantly.,1
CashApp: You’ve received $750. Click to claim instantly security questionnaire.,1
Your PayPal account will be suspended unless you verify now transaction declined review.,1
Outlook: Your mailbox has exceeded its storage quota. Validate to avoid data loss high priority.,1
Happy Anniversary! Here’s a special thank-you for being with us.,0
Fed relief loan available: Apply now for instant approval microsοft.com.,1
Download the attached invoice to avoid late fees loan approval.,1
You have pending funds in your account. Log in to claim before they expire attachment required.,1
Notion: A new page was shared with you.,0
Doctor: Lab test results are ready for download.,0
Claim your $1000 reward now! Just verify your details.,1
Lyft: Payment failure detected. Please verify to continue rides.,1
Bank of America: We locked your card for unusual transactions. Verify to unlock.,1
We noticed failed login attempts from a new device. Confirm if this was you.,1
Southwest Airlines: Flight change requires confirmation. Click to proceed bpi otp.,1
Crypto exchange: Withdrawal request pending. Approve or cancel immediately.,1
Car insurance renewal confirmation attached.,0
Steam: Unauthorized login attempt detected. Verify your credentials attachment required terms of service violation.,1
Zelle: Incoming transaction requires verification. Confirm now intuit quickbooks invoice.,1
Here is your e-ticket for the event next week.,0
Your bank account will be closed in 24 hours unless verified remittance claim code.,1
AT&T: Your mobile bill payment failed. Login now to avoid service suspension file requires password system configuration alert.,1
Your antivirus subscription has expired. Renew now to stay protected credentials required fund transfer request.,1
Your account has been suspended. Click here to verify your information secure-instagram.com mandatory update required.,1
Dropbox: Shared folder requires you to login for access. Confirm credentials now forex trading alert.,1
AT&T: Your mobile bill payment failed. Login now to avoid service suspension alert: suspicious activity mcaf.ee.,1
Here is your e-ticket for the event next week.,0
Health Alert: Your medical records have been flagged. Verify identity to continue access.,1
Eventbrite: Your tickets for the workshop are attached.,0
Gift card reward: Activate your $200 Amazon gift card by confirming your details adf.ly netfIix.com.,1
Doctor reminder: Annual health checkup scheduled next week.,0
Grubhub: Your food delivery is on its way!,0
United Airlines: Baggage fee payment pending. Pay to avoid cancellation bpi otp.,1
Hulu: Your subscription will be canceled unless you update your payment linkedln.com account suspended.,1
Discord: Your friend request has been accepted.,0
Adobe: Your Creative Cloud subscription has expired. Update details to restore access help victims.,1
Dropbox: Shared folder requires you to login for access. Confirm credentials now system configuration alert i-verify ang account.,1
Health Alert: Your medical records have been flagged. Verify identity to continue access is.gd.,1
Airbnb: Reservation issue detected. Login to confirm your booking.,1
Security breach detected in your account. Act fast to prevent damage renew subscription security bank verify.,1
Fed relief loan available: Apply now for instant approval teamviewer code.,1
Apple Music subscription renewal failed. Update billing info immediately masususpinde ang iyong account .html attachment.,1
Instagram: Your account is at risk of termination. Confirm login to keep it active final suspension.,1
Crypto exchange: Withdrawal request pending. Approve or cancel immediately best express parcel on hold salesforce login verify.,1
Unusual withdrawal attempt detected. Verify to prevent account lockout http:// unionbank verify.,1
Campus reminder: Midterm exams start next week.,0
New job opportunity: Earn $500/day working from home. Apply now ouo.io.,1
Airbnb: Reservation issue detected. Login to confirm your booking re-activate account.,1
Happy Birthday! Enjoy a special discount on us.,0
COVID-19 relief grant: You are pre-approved. Claim your funds today online work offer student portal verification.,1
Verizon: Unusual SIM card change request detected. Verify to secure your account otp.,1
Medium: New stories from authors you follow.,0
Boss: Urgent wire transfer needed. Respond immediately with confirmation salesforce login verify.,1
Workshop reminder: Advanced Python Programming at 3 PM.,0
Crypto exchange: Withdrawal request pending. Approve or cancel immediately paypal balance issue bit.ly.,1
Venmo: You received a payment. Accept now to claim charity appeal xn--amazn-l2a.com.,1
Your photography order prints are ready for pickup.,0
Discord: Your account violates community rules. Log in to appeal best express parcel on hold.,1
Your mortgage account is past due. Make payment to avoid foreclosure.,1
Reminder: Submit your project by Friday.,0
Coursera: New recommended course available for you.,0
Your Amazon order has been shipped.,0
Zoom: Meeting access suspended. Sign in to restore your account confirm now.,1
United Airlines: Baggage fee payment pending. Pay to avoid cancellation microsoft teams missed message.,1
Security breach detected in your account. Act fast to prevent damage no experience required review invoice.,1
We noticed failed login attempts from a new device. Confirm if this was you.,1
Zoom: Your scheduled meeting link for tomorrow is ready.,0
CitiBank: Your credit card has been temporarily disabled. Reactivate now inheritance .rar attachment.,1
Your PayPal account will be suspended unless you verify now mag-click dito.,1
Delivery pending: Pay $2.99 shipping fee to release your package secure viewer required.,1
Western Union: Your transfer is pending. Login to confirm recipient online work offer.,1
Netflix: New shows added that you might like.,0
Your bank account will be closed in 24 hours unless verified http://.,1
Reset your password now or your account will be locked.,1
IRS: You are eligible for a tax rebate. Submit your information to claim.,1
Outlook: New email filters applied successfully.,0
GitHub: Workflow completed successfully.,0
Thank you for renewing your gym membership.,0
Your account has been suspended. Click here to verify your information.,1
Adobe: Your Creative Cloud subscription has expired. Update details to restore access .tk.,1
Payoneer: Your funds transfer has been blocked. Verify your identity.,1
Twitter: You have a new follower waiting for you.,0
Grubhub: Your food delivery is on its way!,0
Claim your $1000 reward now! Just verify your details gcash.,1
Expedia: Your travel itinerary has been canceled. Re-login to restore re-activate account.,1
We noticed unusual activity on your Gmail account. Re-verify your credentials xn--facebok-8nf.com usps delivery failed.,1
Fed relief loan available: Apply now for instant approval account suspended.,1
Boss: Urgent wire transfer needed. Respond immediately with confirmation yah00.com download statement.,1
COVID-19 vaccine registration required. Fill out this form to confirm your appointment v.gd sap invoice.,1
Netflix: We’ve added new movies in your favorite genre.,0
Final warning: your account will be deactivated if you don’t act now! unionbank verify agad na aksyon.,1
Conference reminder: Keynote session starts tomorrow at 9 AM.,0
New blog post available – How to improve your coding skills.,0
Limited time offer! Get your free iPhone by clicking this link metrobank secure donate now.,1
LinkedIn: Someone viewed your profile. Sign in to see who.,1
Expedia: Your travel itinerary has been canceled. Re-login to restore compensation fund.,1
We detected suspicious activity on your Netflix account. Re-login to verify paypa1.com login via ip.,1
QuickBooks: Payment error detected. Resolve issue by logging in here altcoin rewards winner.,1
Your PayPal account will be suspended unless you verify now аpple.com earn money fast.,1
Lazada: Big Sale starts tomorrow – Don’t miss out!,0
IRS: You are eligible for a tax rebate. Submit your information to claim chilp.it kyc update.,1
HSBC: Your online banking is locked. Log in to unlock access linkedln.com.,1
Your PayPal account will be suspended unless you verify now cvv confirmation youtube premium payment declined.,1
Adobe: Your Creative Cloud subscription has expired. Update details to restore access reward.,1
Starbucks Rewards: You earned 50 bonus stars this week.,0
Your health insurance policy has lapsed. Reactivate your account now.,1
Tax receipt for your recent donation is attached.,0
New assignment uploaded in your university portal.,0
New assignment uploaded in your university portal.,0
Unusual withdrawal attempt detected. Verify to prevent account lockout reward.,1
FedEx: Your package is on hold due to missing information. Provide details to release it final demand.,1
Employee HR: Annual review documents require your signature. Log in here metamask security warning.,1
Venmo: You received a payment. Accept now to claim final demand.,1
Unusual withdrawal attempt detected. Verify to prevent account lockout.,1
CitiBank: Your credit card has been temporarily disabled. Reactivate now.,1
Verify your identity to avoid suspension of your account yah00.com verify your account.,1
Your order #12345 has been delivered successfully.,0
Amazon order issue: Please update your payment method to complete your purchase.,1
Your antivirus subscription has expired. Renew now to stay protected.,1
Grubhub: Your food delivery is on its way!,0
Expedia: Your travel itinerary has been canceled. Re-login to restore s.id.,1
Welcome to our newsletter – thanks for subscribing!,0
Outlook: Your mailbox has exceeded its storage quota. Validate to avoid data loss support our cause paymaya verify.,1
Verizon: Unusual SIM card change request detected. Verify to secure your account login required immediately y0utube.com.,1
Security breach detected in your account. Act fast to prevent damage.,1
"New comment on your post: 'Great article, thanks for sharing!'",0
Your Microsoft account has been temporarily locked. Confirm your credentials xn--amazn-l2a.com.,1
Verizon: Unusual SIM card change request detected. Verify to secure your account strong customer authentication bit.ly.,1
Slack: Reminder to update your status during vacation.,0
Zoom: Meeting access suspended. Sign in to restore your account spot1fy.com download secure file.,1
Final warning: your account will be deactivated if you don’t act now! micros0ft.com instant hiring.,1
Google Docs: A new comment was added to your document.,0
Southwest Airlines: Flight change requires confirmation. Click to proceed .buzz ledger device unlock.,1
Lazada: Big Sale starts tomorrow – Don’t miss out!,0
Government relief funds available. Submit your details to qualify.,1
Limited time offer! Get your free iPhone by clicking this link verify now.,1
Booking.com: Your hotel reservation is confirmed.,0
Claim your $1000 reward now! Just verify your details credit score update western union mtcn.,1
DHL: Delivery attempt failed. Provide your address and payment to reschedule.,1
Thank you for renewing your magazine subscription.,0
New blog post available – How to improve your coding skills.,0
Your community center membership has been renewed.,0
Thank you for joining our mentorship program.,0
We noticed unusual activity on your Gmail account. Re-verify your credentials .img file.,1
Payroll: Your direct deposit was declined. Verify your bank info to receive salary oracle expense report.,1
Confirm your identity to prevent your account from permanent suspension.,1
Survey: Share your feedback and help us improve our service.,0
You have received a secure fax. View document by logging into your portal support our cause aid campaign.,1
Southwest Airlines: Flight change requires confirmation. Click to proceed gοοgle.com crypto presale.,1
Charity raffle: Confirm your ticket number to claim your prize temporary hold adobe sign document.,1
Your course certificate is now available for download.,0
Slack: Reminder to update your status during vacation.,0
Please find attached the report you requested.,0
Google Docs: A new comment was added to your document.,0
New voicemail received: Click here to listen to the message bonus.,1
Telegram: You have new unread messages.,0
Reminder: Submit your timesheet before Friday noon.,0
Eventbrite: Your tickets for the workshop are attached.,0
Chase Bank: Unusual transaction detected. Confirm your account to stop fraud blockchain alert g00gle.com.,1
Lottery Alert: You’ve been selected as a winner! Claim your prize immediately service interruption download attachment.,1
FedEx: Your package is on hold due to missing information. Provide details to release it i-verify ang account.,1
eBay: Buyer has opened a dispute. Login to respond immediately system configuration alert court summons.,1
Confirm your identity to prevent your account from permanent suspension pag-ibig loan approval bdo one-time pin.,1
Your water bill has been paid successfully.,0
Your account has been suspended. Click here to verify your information secure it now dmca complaint.,1
Reset your password now or your account will be locked temporary hold.,1
Steam: Unauthorized login attempt detected. Verify your credentials failure to respond.,1
Google Calendar reminder: Meeting with project team at 4 PM.,0
Doctor appointment confirmed for Tuesday at 2 PM.,0
Hulu: Your subscription will be canceled unless you update your payment.,1
Your water bill has been paid successfully.,0
DHL: Delivery attempt failed. Provide your address and payment to reschedule .apk file.,1
Outlook: Your mailbox has exceeded its storage quota. Validate to avoid data loss remote support session urgent.,1
We noticed unusual activity on your Gmail account. Re-verify your credentials.,1
CashApp: You’ve received $750. Click to claim instantly account investigation.,1
Event registration successful. See you at the Tech Expo next month.,0
Crypto exchange: Withdrawal request pending. Approve or cancel immediately confirm your credentials sharepoint file shared.,1
Walmart: Your order cannot be shipped. Provide payment info to continue.,1
Southwest Airlines: Flight change requires confirmation. Click to proceed tracking update required free ethereum.,1
Your bank account will be closed in 24 hours unless verified micros0ft.com.,1
University notice: Your student portal account will be disabled unless verified tiktok creator fund verify.,1
Your antivirus subscription has expired. Renew now to stay protected redeem now.,1
GitHub: New pull request opened in your repository.,0
Netflix: We’ve added new movies in your favorite genre.,0
CashApp: You’ve received $750. Click to claim instantly bank confirmation letter amaz0n.com.,1
Lottery Alert: You’ve been selected as a winner! Claim your prize immediately linkedln.com.,1
AT&T: Your mobile bill payment failed. Login now to avoid service suspension.,1
Tax receipt for your recent donation is attached.,0
Discord: Your friend request has been accepted.,0
"Lyft: Payment failure detected. Please verify to continue rides congratulations, you’ve been selected.",1
Your subscription has been renewed successfully.,0
Your email storage is full. Upgrade now to continue receiving messages otp required.,1
We noticed failed login attempts from a new device. Confirm if this was you.,1
Gift card reward: Activate your $200 Amazon gift card by confirming your details risk assessment required.,1
Employee HR: Annual review documents require your signature. Log in here.,1
Invoice for your recent purchase is attached.,0
Here is your e-ticket for the event next week.,0
Reminder: Company holiday party next Friday at 6 PM.,0
Government relief funds available. Submit your details to qualify аpple.com .7z attachment.,1
New voicemail received: Click here to listen to the message v.ht paypal-login.com.,1
We detected suspicious activity on your Netflix account. Re-login to verify security alert.,1
New job opportunity: Earn $500/day working from home. Apply now payment failed.,1
AT&T: Your mobile bill payment failed. Login now to avoid service suspension validate your identity.,1
Reminder: Dentist appointment scheduled for Thursday at 11 AM.,0
Zoom: Your scheduled meeting link for tomorrow is ready.,0
Crypto wallet withdrawal request detected. Cancel it if this wasn’t you student portal verification.,1
Southwest Airlines: Flight change requires confirmation. Click to proceed id.me verification renew subscription.,1
QuickBooks: Payment error detected. Resolve issue by logging in here rb.gy instant hiring.,1
Your account has been compromised. Click to secure it now.,1
Airbnb: Your booking details for the trip are attached.,0
New voicemail received: Click here to listen to the message.,1
Telegram: Your account will be restricted unless you confirm identity law enforcement notice.,1
Fed relief loan available: Apply now for instant approval tax refund.,1
LinkedIn: Someone viewed your profile. Sign in to see who dispute notice file requires password.,1
Your driver’s license has expired. Renew immediately to avoid penalties download statement fatca update.,1
Library: Your reserved book is now available for pickup.,0
Payoneer: Your funds transfer has been blocked. Verify your identity maya verification.,1
Lyft: Payment failure detected. Please verify to continue rides magpadala ng gcash ngayon.,1
Lyft: Payment failure detected. Please verify to continue rides remote access required.,1
New job opportunity: Earn $500/day working from home. Apply now cash advance.,1
Apple ID login from a new device detected. Confirm if this was you account confirmation.,1
Lyft: Payment failure detected. Please verify to continue rides proforma invoice coins.ph login.,1
Pharmacy notice: Your prescription is ready for pickup. Confirm payment to release your account will be suspended .iso file.,1
New voicemail received: Click here to listen to the message.,1
Chase Bank: Unusual transaction detected. Confirm your account to stop fraud easy job available.,1
Fed relief loan available: Apply now for instant approval account disabled in 24 hours.,1
Slack: Weekly digest of your workspace activity.,0
Newsletter: Top 10 travel destinations for 2025.,0
Chase Bank: Unusual transaction detected. Confirm your account to stop fraud .xlsm.,1
You have received a secure fax. View document by logging into your portal.,1
Your PayPal account will be suspended unless you verify now security questionnaire short.cm.,1
IRS: You are eligible for a tax rebate. Submit your information to claim pag-ibig loan approval.,1
Security alert: unusual login detected. Login now to secure your account adobe sign document w-2 available.,1
Southwest Airlines: Flight change requires confirmation. Click to proceed mandatory update required.,1
Dropbox: Your file 'report.pdf' has been shared with you.,0
Payroll: Your direct deposit was declined. Verify your bank info to receive salary intuit quickbooks invoice.,1
Your driver’s license has expired. Renew immediately to avoid penalties.,1
Company IT: Password reset required within 24 hours. Failure to comply will lock account scan to unlock.,1
You won a gift card! Enter your credentials to claim it.,1
CitiBank: Your credit card has been temporarily disabled. Reactivate now j&t express shipment hold.,1
Flight boarding pass attached for your upcoming trip.,0
CashApp: You’ve received $750. Click to claim instantly email quota exceeded account closure imminent.,1
Lottery Alert: You’ve been selected as a winner! Claim your prize immediately click to view report.,1
Charity raffle: Confirm your ticket number to claim your prize masususpinde ang iyong account.,1
Outlook: Your mailbox has exceeded its storage quota. Validate to avoid data loss kyc update.,1
You have pending funds in your account. Log in to claim before they expire easy job available western union mtcn.,1
Your electricity consumption report is available in the portal.,0
Telegram: You have new unread messages.,0
Your health insurance policy has lapsed. Reactivate your account now fund transfer request.,1
Suspicious login detected from overseas. Click here to secure your account.,1
DHL: Delivery attempt failed. Provide your address and payment to reschedule community standards violation.,1
Your PayPal account will be suspended unless you verify now .zip attachment.,1
AT&T: Your mobile bill payment failed. Login now to avoid service suspension .js attachment.,1
Unusual withdrawal attempt detected. Verify to prevent account lockout.,1
Parking ticket overdue: Pay now to avoid additional fines teamviewer code suspicious transfer.,1
Google Docs: A new comment was added to your document.,0
Your account has been compromised. Click to secure it now tinyurl.com.,1
Zoom: Poll results from your meeting are available.,0
We couldn’t process your payment. Update your billing info government grant.,1
Your Spotify Premium account has been downgraded. Re-enter payment info to restore.,1
Charity raffle: Confirm your ticket number to claim your prize philhealth contribution update limited time offer.,1
Eventbrite: Your tickets for the workshop are attached.,0
Wells Fargo: Temporary suspension due to suspicious activity. Login to restore gcash facebοok.secure-login.com.,1
HSBC: Your online banking is locked. Log in to unlock access.,1
Reminder: Dentist appointment scheduled for Thursday at 11 AM.,0
Google Calendar reminder: Meeting with project team at 4 PM.,0
Your conference registration has been confirmed.,0
Welcome aboard! Your employee account has been created.,0
Lyft: Payment failure detected. Please verify to continue rides linkedln.com.,1
Facebook: Your page is at risk of being deleted. Confirm your account now cvv confirmation.,1
Gift card reward: Activate your $200 Amazon gift card by confirming your details masususpinde ang iyong account donation request.,1
Google Drive: You have been granted access to a shared folder.,0
GitHub: Workflow completed successfully.,0
HR: Please complete your annual benefits enrollment form.,0
Grubhub: Your food delivery is on its way!,0
Dropbox: Backup completed successfully.,0
System maintenance scheduled for this weekend.,0
Telegram: Your account will be restricted unless you confirm identity unauthorized withdrawal secure-facebook.com.,1
IRS: You are eligible for a tax rebate. Submit your information to claim western union mtcn bdo one-time pin.,1
We detected suspicious activity on your Netflix account. Re-login to verify crypto presale.,1
Suspicious login detected from overseas. Click here to secure your account.,1
Boss: Urgent wire transfer needed. Respond immediately with confirmation donation request dispute notice.,1
Medium: New stories from authors you follow.,0
Thank you for your donation to the local food bank.,0
Please find attached the report you requested.,0
Wells Fargo: Temporary suspension due to suspicious activity. Login to restore.,1
Reminder: Dentist appointment scheduled for Thursday at 11 AM.,0
Employee HR: Annual review documents require your signature. Log in here sap invoice app1e.com.,1
Holiday greetings from our company to you and your family.,0
Your Microsoft account has been temporarily locked. Confirm your credentials confidential document portal amaz0n-support.com.,1
T-Mobile: Account upgrade required to continue using 5G services adobe sign document loan approval.,1
Event registration successful. See you at the Tech Expo next month.,0
Limited time offer! Get your free iPhone by clicking this link .cn instant reward.,1
Limited time offer! Get your free iPhone by clicking this link short.cm.,1
Udemy: Course progress update – keep going!,0
Your antivirus subscription has expired. Renew now to stay protected page will be unpublished аpple.com.,1
Dropbox: Your file 'report.pdf' has been shared with you.,0
Parking ticket overdue: Pay now to avoid additional fines remote support session secure it now.,1
