url,label
Class reminder: Data Science 101 starts at 9 AM tomorrow.,0
Here are the meeting notes from today’s discussion.,0
Lyft: Payment failure detected. Please verify to continue rides.,1
Thank you for renewing your magazine subscription.,0
Zoom: Poll results from your meeting are available.,0
Bank of America: We locked your card for unusual transactions. Verify to unlock.,1
Your water bill has been paid successfully.,0
LinkedIn: Weekly job alerts curated for you.,0
Employee HR: Annual review documents require your signature. Log in here.,1
CashApp: You’ve received $750. Click to claim instantly.,1
Uber: Your ride with driver John is arriving in 5 minutes.,0
Thank you for your donation to the local food bank.,0
Adobe: Your Creative Cloud subscription has expired. Update details to restore access.,1
Your Amazon order has been shipped.,0
Your mobile app update is now available in the App Store.,0
Verizon: Unusual SIM card change request detected. Verify to secure your account.,1
"Congratulations! You have been selected to win $10,000.",1
Notion: A new page was shared with you.,0
Telegram: You have new unread messages.,0
Flight boarding pass attached for your upcoming trip.,0
Your flight booking with Delta Airlines has been confirmed.,0
IT Support: Mandatory security update required. Log in to apply the patch.,1
Thank you for confirming your RSVP to the wedding.,0
Airbnb: Your booking details for the trip are attached.,0
eBay: Buyer has opened a dispute. Login to respond immediately.,1
Holiday greetings from our company to you and your family.,0
Reminder: Submit your project by Friday.,0
Instagram: Your account is at risk of termination. Confirm login to keep it active.,1
Happy Anniversary! Here’s a special thank-you for being with us.,0
Monthly budget report is ready for review.,0
Reminder: Submit your health insurance claim before the deadline.,0
Venmo: You received a payment. Accept now to claim.,1
Gmail: Security checkup completed successfully.,0
Booking.com: Your hotel reservation is confirmed.,0
Your antivirus subscription has expired. Renew now to stay protected.,1
Netflix: We’ve added new movies in your favorite genre.,0
Reminder: Company holiday party next Friday at 6 PM.,0
Health Alert: Your medical records have been flagged. Verify identity to continue access.,1
Jira: Sprint planning starts tomorrow.,0
Apple Music subscription renewal failed. Update billing info immediately.,1
LinkedIn: Your connection request has been accepted.,0
Your order #12345 has been delivered successfully.,0
Invoice for your recent purchase is attached.,0
Outlook: New email filters applied successfully.,0
Workshop reminder: Advanced Python Programming at 3 PM.,0
Crypto exchange: Withdrawal request pending. Approve or cancel immediately.,1
New assignment uploaded in your university portal.,0
New voicemail received: Click here to listen to the message.,1
Join our loyalty program and earn points on every purchase.,0
Confirm your identity to prevent your account from permanent suspension.,1
Outlook: Your mailbox has exceeded its storage quota. Validate to avoid data loss.,1
Trello: A new task has been assigned to you.,0
Please find attached the report you requested.,0
Google Classroom: New assignment posted for your course.,0
Pinterest: Here are some fresh ideas for you this week.,0
We couldn’t process your payment. Update your billing info.,1
Pharmacy notice: Your prescription is ready for pickup. Confirm payment to release.,1
Thank you for joining our mentorship program.,0
Your mortgage account is past due. Make payment to avoid foreclosure.,1
Google Drive: You have been granted access to a shared folder.,0
Quarterly financial report is now available on the portal.,0
Welcome aboard! Your employee account has been created.,0
Google Docs: A new comment was added to your document.,0
Dropbox: Your file 'report.pdf' has been shared with you.,0
Your Spotify Premium account has been downgraded. Re-enter payment info to restore.,1
Download the attached invoice to avoid late fees.,1
Parking ticket overdue: Pay now to avoid additional fines.,1
Your bank account will be closed in 24 hours unless verified.,1
Airbnb: Reservation issue detected. Login to confirm your booking.,1
Payoneer: Your funds transfer has been blocked. Verify your identity.,1
You have received a secure fax. View document by logging into your portal.,1
United Airlines: Baggage fee payment pending. Pay to avoid cancellation.,1
Welcome to our service! Here are some tips to get started.,0
Eventbrite: Your tickets for the workshop are attached.,0
Your community center membership has been renewed.,0
You have pending funds in your account. Log in to claim before they expire.,1
Dropbox: Backup completed successfully.,0
Discord: Your account violates community rules. Log in to appeal.,1
Wells Fargo: Temporary suspension due to suspicious activity. Login to restore.,1
Thank you for updating your profile information.,0
Claim your $1000 reward now! Just verify your details.,1
We noticed unusual activity on your Gmail account. Re-verify your credentials.,1
Payment receipt for your electricity bill is attached.,0
Southwest Airlines: Flight change requires confirmation. Click to proceed.,1
Starbucks Rewards: You earned 50 bonus stars this week.,0
Steam: Unauthorized login attempt detected. Verify your credentials.,1
Doctor appointment confirmed for Tuesday at 2 PM.,0
FedEx: Your package is on hold due to missing information. Provide details to release it.,1
Zelle: Incoming transaction requires verification. Confirm now.,1
IRS: You are eligible for a tax rebate. Submit your information to claim.,1
Microsoft Teams: Meeting invitation for Thursday at 9 AM.,0
Happy Birthday! Enjoy a special discount on us.,0
Suspicious login detected from overseas. Click here to secure your account.,1
University notice: Your student portal account will be disabled unless verified.,1
Discord: Your friend request has been accepted.,0
Uber: Your ride account is suspended. Update billing info to reactivate.,1
Expedia: Your travel itinerary has been canceled. Re-login to restore.,1
Your driver’s license has expired. Renew immediately to avoid penalties.,1
Western Union: Your transfer is pending. Login to confirm recipient.,1
Doctor reminder: Annual health checkup scheduled next week.,0
Your photography order prints are ready for pickup.,0
Company IT: Password reset required within 24 hours. Failure to comply will lock account.,1
Your electricity consumption report is available in the portal.,0
Zoom: Meeting access suspended. Sign in to restore your account.,1
Library: Your reserved book is now available for pickup.,0
Charity raffle: Confirm your ticket number to claim your prize.,1
Congratulations! You’ve completed your fitness challenge this week.,0
We received your support ticket. Our team will respond shortly.,0
Charity appeal: Donate now to help victims of natural disasters. Click to contribute.,1
Charity fund: Help children in need by sending your donation here.,1
Thank you for renewing your gym membership.,0
Hotmail: Update your account to maintain uninterrupted email service.,1
Team meeting rescheduled to Monday at 2 PM.,0
Conference reminder: Keynote session starts tomorrow at 9 AM.,0
Google Photos: Your memories from last year are ready to view.,0
Reminder: Parent-teacher meeting scheduled this Saturday.,0
Medium: New stories from authors you follow.,0
LinkedIn: Someone viewed your profile. Sign in to see who.,1
HR: Please complete your annual benefits enrollment form.,0
Twitter: You have a new follower waiting for you.,0
Chase Bank: Unusual transaction detected. Confirm your account to stop fraud.,1
Bitcoin wallet: Immediate withdrawal detected. Verify before funds are lost.,1
Amazon order issue: Please update your payment method to complete your purchase.,1
Verify your identity to avoid suspension of your account.,1
Limited time offer! Get your free iPhone by clicking this link.,1
Your payment has been received successfully.,0
Survey: Share your feedback and help us improve our service.,0
We detected suspicious activity on your Netflix account. Re-login to verify.,1
Bank statement for your checking account is now available online.,0
Slack: Weekly digest of your workspace activity.,0
Your conference registration has been confirmed.,0
Unpaid electricity bill: Pay immediately to avoid disconnection.,1
Slack: Reminder to update your status during vacation.,0
Lottery Alert: You’ve been selected as a winner! Claim your prize immediately.,1
COVID-19 relief grant: You are pre-approved. Claim your funds today.,1
Walmart: Your order cannot be shipped. Provide payment info to continue.,1
Fed relief loan available: Apply now for instant approval.,1
Spotify: Your playlist has been successfully updated.,0
Facebook: Your page is at risk of being deleted. Confirm your account now.,1
Shopee: Your parcel is out for delivery.,0
